ID,브랜드명,팝업스토어명,카테고리,세부카테고리,시작일,종료일,운영일수,위치,구역,원산지(원본),원산지(정제),콜라보,설명,연도,출처
725,피지오겔(PHYSIOGEL),The Red Trace - 붉은기 추적본부,,스킨케어,2026-04-17,2026-04-19,,성수동,,미국/한국(LG생활건강),미국/한국(LG생활건강),,민감 피부 진정과 붉은기 완화 특화 '레드수딩' 라인 팝업. 사건 의뢰인이 되어 붉은기를 수사하는 스토리텔링 방식.,,['http://www.wsobi.com/news/articleView.html?idxno=310711']
726,웨이크메이크(WAKEMAKE),"WAKEMAKE MY COLOR, MY WAY",,메이크업,2026-01-24,2026-02-01,,성수 한서빌딩 (올리브영N 성수 앞),,한국,국내,,40컬러 립스틱 출시 기념. 블러링과 글로우 2가지 텍스처에 40가지 컬러를 담은 립스틱 라인업 체험. 컬러 카드 뽑기 이벤트와 럭키드로우.,,['https://www.threads.com/@sungsooodong/post/DUKLmZ-k5a9/']
727,FEEV,FEEV x Musinsa Pop That Bubble Pop-up,,립케어,2026-05-06,2026-05-17,,"무신사 뷰티 스페이스 1, 성수",,한국,국내,무신사(Musinsa),한국 립케어 브랜드 FEEV의 버블 글로스 6종 체험. 버블 테마의 포토존과 사전예약 이벤트.,,['https://insideseoul.app/seongsu/popups']
728,쿠팡 알럭스(R.LUX),살롱 드 알럭스(Salon de R.LUX),,복합(스킨케어/메이크업/향수),2026-01-24,2026-04-26,,성수동 연무장길 11번지,,한국,국내,"나스, 에스티로더, 헤라, SK-II, 설화수, 맥 등 48개 브랜드","쿠팡 럭셔리 뷰티 플랫폼 알럭스의 첫 오프라인 팝업. 지하1층~지상4층, 5개 층 규모. 브랜드 갤러리, 뷰티 아뜰리에, 알럭스 부티크, 맨즈 케이브, 살롱 라운지 구성.",,"['https://fashionbiz.co.kr/article/224871', 'https://news.nate.com/view/20260325n29133']"
729,토리든(Torriden),토리든 솔리빌리지(Solivillege),,스킨케어,2025-11-18,2025-12-31,,"토리든 커넥트 성수, 성수동",,한국,국내,사계꽃방(뜨개 공방),"건조한 계절을 맞아 '진짜 보습 장벽' 테마의 이색 팝업. 보습 이글루 마을 컨셉. AR 스노우볼 셀피존, 보습 낚시 게임, 뜨개 키링 클래스.",2025,['https://www.mhnse.com/news/articleView.html?idxno=476779']
730,토리든(Torriden) x CORTIS,토리든 x CORTIS 대규모 뷰티 팝업,,스킨케어,2026-04-01,2026-04-30,,성수동,,한국,국내,CORTIS,'수분'과 '연결'을 테마로 한 대규모 뷰티 팝업. 개인별 피부 타입에 맞춘 체험 콘텐츠.,,['https://blog.naver.com/rapatrip/224252659022']
731,3CE,3CE 벨벳 케이크 샵(Velvet Cake Shop),,메이크업,2025-10-22,2025-11-03,,트렌드팟 바이 올리브영 성수,,한국,국내,아우푸글렛(카페),"버터 벨벳 틴트와 벨벳 립 틴트 플러쉬 출시 기념. 케이크 샵 컨셉 공간, 올리브영 단독 컬러 선보임. 팝시클 디저트 증정, 미션 완료 시 럭키드로우.",2025,"['https://www.mhnse.com/news/articleView.html?idxno=476779', 'https://www.kmjournal.net/news/articleView.html?idxno=5894']"
732,플라워노즈(Flower Knows),플라워노즈 스위티 베어 팝업,,메이크업,2025-10-18,2025-11-01,,"성수포탈 1, 2층 (성수역 3번출구 앞)",,중국,중국,,"C-뷰티 브랜드 플라워노즈의 국내 첫 팝업. '스위티 베어' 테마의 동화 같은 공간. DIY 스위티 키링 만들기, 포토부스. 약 2만 7천명 방문.",2025,"['https://www.hankyung.com/article/202511070091g', 'https://blog.naver.com/hshapy/224051322872']"
733,구찌 뷰티(Gucci Beauty),구찌 뷰티 하우스(Gucci Beauty House),,메이크업/향수,2025-10-23,2025-11-02,,성수 T'ANNERY,,이탈리아,이탈리아,,"구찌 뷰티 국내 최초 팝업스토어. 3층 규모. 1층 플로라 월 포토존, 2층 향수 체험존, 3층 플로라 메이크업 컬렉션 체험. 태연 프리 오프닝 참석.",2025,"['https://www.vogue.co.kr/2025/11/06/향과-빛으로-그려낸-구찌-뷰티-하우스의-여정/', 'https://blog.naver.com/PostView.naver?blogId=davi-kim&logNo=224052956610']"
734,아모레퍼시픽(AMOREPACIFIC),아모레성수 슈퍼 루틴: 미션 리시트,,복합(스킨케어/메이크업/이너뷰티),2025-10-14,2025-11-30,,"아모레성수, 성수동",,한국,국내,바이탈뷰티,"'Eat first, Glow more' 컨셉. AI 피부 분석, 헤라 립 커스텀 매치, 바이탈뷰티 음료 제공. 에뛰드, 헤라, 설화수, 라네즈 등 아모레퍼시픽 브랜드 총집합.",2025,['https://www.businessplus.kr/news/articleView.html?idxno=99184']
735,홀리추얼(HOLITUAL),홀리추얼 Glow Skincare Routine 팝업,,스킨케어,2025-11-11,2025-11-23,,"아모레성수, 성수동",,한국,국내,아모레성수,시시각각 변하는 날씨에 좋은 스킨 컨디션을 위한 Glow Skincare Routine 제안.,2025,['https://popga.co.kr/popup/4614']
736,이니스프리(INNISFREE),이니스프리 속보습 충전소,,스킨케어,2025-09-26,2025-10-12,,"이니스프리 디아일 성수, 성수이로7가길 11",,한국,국내,,"'에너지도 충전, 피부도 충전' 컨셉. 그린티 밀크 보습 에센스, 그린티 버터 보습 크림 등 체험. 에너지 충전 게이지 게임, 포토스팟 이벤트.",2025,['https://www.newswire.co.kr/newsRead.php?no=1019755']
737,지그재그(ZIGZAG),직잭뷰티(ZZIG BEAUTY) 팝업스토어,,복합(메이크업/스킨케어),2025-04-11,2025-04-13,,"성수 XYZ, 성수동",,한국,국내,"삐아, 에스쁘아, 에뛰드, 달바, 무지개맨션, 에크멀","'BE-YOU-TIFUL' 컨셉. 퍼스널 컬러존, 피부 타입 진단존, 샘플 체험존. 10~30대 여성 타겟 뷰티 페스타. 커스텀 파우치 만들기, 젤리 스쿠핑 이벤트.",2025,['https://v.daum.net/v/VL8w5xJqgZ']
738,코스알엑스(COSRX),코스알엑스 더마랩(COSRX DERMA LAB),,스킨케어,2025-11-25,2025-11-30,,"스테이지35 성수, 성수동 연무장길 35",,한국,국내,NCT 마크(모델),"브랜드 첫 단독 팝업스토어. AI 스킨 분석, 더마 스킨 솔루션 맞춤 처방, 더마 커스텀 바. NCT 마크 광고 촬영 비하인드 씬 공개.",2025,['https://www.100ssd.co.kr/news/articleView.html?idxno=203208']
739,라카(LAKA),라카 성수 플래그십 스토어,,메이크업,2025-09-01,2026-12-31,,"성수이로7가길 7, 성수동",,한국,국내,,"399가지 립컬러에 15종의 립을 직접 발색. 젠더 뉴트럴 컨셉. 믹솔로지 바에서 직접 틴트 색 조합 제작 체험. 포토존, 메이크업존 구성.",2025,['https://www.threads.com/@hihee.e/post/DOXXhjoEoRj/']
740,무신사(Musinsa),무신사 뷰티 페스타 IN 성수,,복합(스킨케어/메이크업/헤어/바디),2025-08-29,2025-08-31,,"성수이로20길 51, 성수동 일대",,한국,국내,36개 라이징 뷰티 브랜드,"36개 뷰티 브랜드 참여. 2층 규모. 이너뷰티 바, 뷰티 클래스, 스탬프 미션 넥스트 뷰티 박스 증정.",2025,['https://www.musinsa.com/content/1410124522832456244']
741,올리브영(Olive Young) x 포켓몬,포켓몬 메가페스타 2026,,복합(뷰티/캐릭터),2026-05-01,2026-06-01,,올리브영N 성수,,한국,국내,포켓몬(Pokemon),"올리브영과 포켓몬 콜라보. 트렌드팟 공간이 피카츄와 미니부 테마로 변형. 포토 스팟, 단독 콜라보 상품, 뷰티 번들 판매.",,['https://insideseoul.app/seongsu/popups']
742,Saint Laurent Beauty,Saint Laurent Beauty Lovestore Pop-up,,메이크업/향수,2026-05-09,2026-05-24,,성수 연무장길,,프랑스,프랑스,,러브스토어 컬렉션 달콤함 콘셉트. 파스텔 핑크 쇼핑 공간. 신상 립스틱과 향수 체험.,,['https://insideseoul.app/seongsu/popups']
743,프라다 뷰티(Prada Beauty),프라다 뷰티 성수 팝업스토어,,메이크업/향수/스킨케어,2026-05-01,2026-05-31,,성수동 연무장길 일대,,이탈리아,이탈리아,,2025년 성수동에 첫 단독 로드숍 오픈. 럭셔리 뷰티 브랜드의 성수 진출 대표 사례. 신상 컬러와 시그니처 향수 체험.,,"['https://www.abcn.kr/news/articleView.html?idxno=87488', 'https://www.mediapen.com/news/view/1097508']"
744,츠바키(TSUBAKI) x 제인마치,츠바키 X 제인마치 팝업,,헤어케어,2026-03-21,2026-03-31,,"제인마치 성수, 성수일로3길 8",,일본,일본,제인마치 성수,헤어 케어 제품 체험 팝업.,,['https://letter.wepick.kr/post/24591']
745,비오레(Bioré),비오레 UV 팝업스토어,,선케어,2026-03-20,2026-03-29,,"LECT 성수, 연무장길 65",,일본,일본,스트레이 키즈(글로벌 앰배서더),"'STAY in Spotlight' 테마. 비오레 UV 전 라인업 체험존, 스트레이 키즈 포토존, 참여형 게임 이벤트.",,['https://letter.wepick.kr/post/24591']
746,웰라쥬(WELLAGE),웰라쥬 x 뷰티쁠 묹 팝업,,스킨케어,2026-03-19,2026-03-21,,성수 AK밸리 앞 외 2개 장소,,한국,국내,뷰티쁠,속건조 해결사 웰라쥬의 이동형 묹 팝업. 100% 당첨 캡슐 이벤트.,,['https://letter.wepick.kr/post/24591']
747,레인메이커스(Rainmakers),레인메이커스 뷰티원더랜드,,복합(메이크업/향수/라이프스타일),2026-03-18,2026-03-22,,"XYZ서울, 연무장길 73",,한국,국내,일본 뷰티 브랜드 17개,한국 미출시 일본 뷰티 브랜드 17개 팝업. 입장만 핧도 본품 증정.,,['https://letter.wepick.kr/post/24591']
748,클리어디어(Cleardier),클리어디어 프레시 마트,,스킨케어,2026-03-18,2026-03-22,,"무신사 뷰티 스페이스 1, 연무장길 81",,한국,국내,,"9,900원 랜덤 타임딜, 팝업 한정 굿즈 증정.",,['https://letter.wepick.kr/post/24591']
749,러쉬(LUSH),인터갈락틱 스테이션 인 성수,,바디케어,2023-12-01,2023-12-31,,성수동 (러쉬 성수점 오픈 전 팝업),,영국,영국,,"러쉬 성수점 오픈 전 기념 팝업. 기부금 모금 이벤트 진행, 3천만 원 기부금 마련.",2023,['https://www.lush.co.kr/board/article/1001804']
750,투쿨포스쿨(Too Cool For School),"Follow the Bunny, Find Your Mystery",,메이크업,2025-09-25,2025-10-08,,"올리브영N 성수 1층 트렌드팟, 성수동",,한국,국내,,"젠틀몬스터 출신 크리에이티브 디렉터가 디자인한 팝업. 6개의 조형적 체험존으로 구성. 프로타주 팔레트, 에코백 증정. 오마이걸 미미, 프리지아 방문.",2025,"['https://fashionbiz.co.kr/article/219943', 'https://www.ktnews.com/news/articleView.html?idxno=141140']"
751,어뮤즈(AMUSE),어뮤즈 바나나 립 오일 팝업,,메이크업,2026-01-10,2026-02-15,,어뮤즈 성수 플래그십 스토어,,한국,국내,,골든 슈퍼 푸드 바나나 영양을 담은 바나나 립 오일 출시 기념. 9가지 컬러 체험. 인스타그램 팔로우 인증 시 100% 당첨 룰렛 이벤트.,,['https://www.threads.com/@_inghwajang/post/DTkjleyE6Fu/']
752,센녹(SENNOK),센녹 애프터 배스 하우스,,헤어/바디/향수,2025-07-14,2025-07-27,,올리브영N 성수,,한국,국내,,"DIY 커스텀 키링 체험, 100% 당첨 갓챠 이벤트. 신제품 헤어 에센스 애프터배스 선공개. 퍼퓸 6종 15% 할인.",2025,['https://www.opinionnews.co.kr/news/articleView.html?idxno=120896']
753,덴티스테(Dentiste),2026 REFRESH ROUTINE,,구강케어,2026-01-15,2026-01-31,,트렌드팟 바이 올리브영 성수,,한국,국내,,구강 케어 브랜드 최초 올리브영N 성수 팝업. 모닝/데이/나이트 존으로 구역 구분. 하루 오랄케어 루틴 체험.,,['https://openads.co.kr/content/contentDetail?contsId=18767']
754,일소(ilso),일소 x 헬로키티 팝업스토어,,스킨케어,2025-07-01,2025-07-31,,올리브영 홍대 타운 (성수동 관련),,한국,국내,헬로키티(Hello Kitty),"올리브영 대표 더마 스킨케어 브랜드 일소와 헬로키티 콜라보. 피지·모공 케어 제품 체험. 게임존, 포토부스, 굿즈존 운영.",2025,['https://corp.oliveyoung.com/ko/news/80']
755,클리오(CLIO),클리오 킬커버 팝업스토어,,메이크업,2024-09-01,2024-09-15,,성수동 일대,,한국,국내,,"클리오 킬커버 쿠션 신제품 체험 팝업. 제품 테스트와 포토존, 구매 혜택 제공.",2024,[]
756,에뛰드(ETUDE),에뛰드 하우스 성수 팝업,,메이크업,2025-08-01,2025-08-31,,성수동,,한국,국내,,에뛰드 신제품 체험과 다양한 이벤트 진행. 성수동에서의 브랜드 체험 공간 운영.,2025,['https://www.tiktok.com/discover/%EC%97%90%EB%9B%B0%EB%93%9C-%ED%95%98%EC%9A%B0%EC%8A%A4-%EC%84%B1%EC%88%98-%ED%8C%9D%EC%97%85']
757,페리페라(Peripera),페리페라 인형뽑기 팝업,,메이크업,2024-05-01,2024-05-15,,성수동 연무장길 일대,,한국,국내,,페리페라 대표 제품 체험과 인형뽑기 이벤트. 한정판 굿즈 증정.,2024,[]
758,데이지크(Dasique),데이지크 무드 팔레트 팝업,,메이크업,2024-06-01,2024-06-15,,성수동,,한국,국내,,데이지크 무드 팔레트 신제품 체험. 무드별 메이크업 룩 체험 공간.,2024,[]
759,헉슬리(Huxley),헉슬리 성수 팝업스토어,,스킨케어,2024-03-01,2024-03-31,,성수동,,한국,국내,,헉슬리 대표 제품 체험과 브랜드 철학 소개. 사막의 미스트와 시카 제품 라인 체험.,2024,[]
760,네이처리퍼블릭(Nature Republic),네이처리퍼블릭 성수 팝업,,스킨케어,2024-07-01,2024-07-15,,성수동,,한국,국내,,네이처리퍼블릭 대표 제품 체험. 알로에 베라 라인 및 신제품 소개.,2024,[]
761,오드타입(Oddtype),오드타입 성수 팝업,,메이크업,2025-08-29,2025-08-31,,"무신사 뷰티 페스타, 성수동",,한국,국내,무신사,무신사 뷰티 페스타 참여. 퍼스널 컬러 클래스 진행. 무신사에서만 만날 수 있는 오드타입 부스.,2025,['https://www.musinsa.com/content/1410124522832456244']
762,커리쉴(Curish),커리쉴 센텔라 랩(CENTELLA LAB),,헤어케어,2025-08-27,2025-09-02,,"무신사 뷰티 스페이스 1, 연무장길 81",,한국,국내,,새로운 두피케어 라인 선공개. 두피와 모발 진단 서비스 제공.,2025,['https://www.musinsa.com/content/1410124522832456244']
763,노홍철 노더럽(NOTHELOVE),노더럽 포토존,,라이프스타일/뷰티,2025-08-29,2025-08-31,,"무신사 뷰티 페스타, 성수동",,한국,국내,무신사,노홍철의 라이프스타일 브랜드. 론칭 동시 무신사 랭킹 1위. 포지티브 치약 등신대와 노더럽 자동차 전시.,2025,['https://www.musinsa.com/content/1410124522832456244']
764,셀리맥스(Celimax),셀리맥스 성수 팝업,,스킨케어,2024-08-01,2024-08-15,,성수동,,한국,국내,,더마 스킨케어 브랜드 셀리맥스의 제품 체험 팝업. 비타민C 세럼 및 진정 라인 체험.,2024,[]
765,티르티르(TIRTIR),티르티르 성수 플래그십 스토어,,메이크업/스킨케어,2024-01-01,2026-12-31,,성수동,,한국,국내,,"베이스 제품으로 유명한 티르티르의 플래그십 매장. 쿠션, 파울데이션 테스트존. 블러쉬 키링 만들기, 쥬시 팝 레시피, AR 45쉐이드 필터 체험.",2024,['https://blog.naver.com/PostView.naver?blogId=davi-kim&logNo=224264616189']
766,힌스(HINCE),힌스 성수 플래그십 스토어,,메이크업,2024-01-01,2026-12-31,,성수동,,한국,국내,,"마치 전시관 같은 느낌의 플래그십 스토어. 색조 제품 테스트, 감각적인 디스플레이. 로 글로우 컬렉션, 멀티 싱글 섀도우, 블루 쿠션 등 체험.",2024,['https://blog.naver.com/PostView.naver?blogId=davi-kim&logNo=224264616189']
767,리즈다(REZIZA),리즈다 첫 팝업스토어,,스킨케어/선케어,2026-04-15,2026-05-17,,성수동,,한국,국내,,"프라이머 라인 중심의 팝업. 글로우 PDRN 세럼 선 프라이머 - 스킨케어, 선케어, 프라이머 기능을 하나로.",,['https://blog.naver.com/PostView.naver?blogId=davi-kim&logNo=224264616189']
768,아이소이(isoi),아이소이 성수 팝업스토어,,스킨케어,2026-05-01,2026-05-31,,성수동 연무장길 일대,,한국,국내,,블레미쉬 케어로 유명한 아이소이의 성수 팝업. 천연 유래 성분 제품 체험.,,['https://v.daum.net/v/20260512095105062']
769,포트레(Portré),포트레 성수 팝업스토어,,메이크업,2026-05-01,2026-05-31,,성수동 연무장길 일대,,한국,국내,,포트레 브랜드의 성수 팝업. 제품 체험과 한정 이벤트.,,['https://v.daum.net/v/20260512095105062']
770,토코보(TOCOBO),토코보 성수 팝업스토어,,스킨케어,2026-05-01,2026-05-31,,성수동 연무장길 일대,,한국,국내,,토코보 브랜드의 성수 팝업. 비건 스킨케어 제품 체험.,,['https://v.daum.net/v/20260512095105062']
771,헤라(HERA),헤라 센슈얼 립 커스텀 매치,,메이크업,2025-10-14,2025-11-30,,"아모레성수, 성수동",,한국,국내,아모레성수,헤라 센슈얼 립 커스텀 매치 서비스. 맞춤형 립컬러 제작 체험. 파우더룸에서 메이크업 서비스.,2025,['https://www.businessplus.kr/news/articleView.html?idxno=99184']
772,에스티로더(Estée Lauder),에스티로더 더블웨어 파울데이션 팝업,,메이크업,2026-03-01,2026-03-07,,"살롱 드 알럭스 1층, 성수동 연무장길",,미국,미국,알럭스(R.LUX),더블웨어 파울데이션 라인업 소개. 알럭스 단독 출시 상품 선보임.,,['https://fashionbiz.co.kr/article/224871']
773,맥(MAC),맥 성수 팝업스토어,,메이크업,2026-01-24,2026-04-26,,"살롱 드 알럭스 3층 알럭스 부티크, 성수동",,캐나다,캐나다,알럭스(R.LUX),알럭스 입점 브랜드로 메이크업 제품 체험. 신학기 추천템 큐레이션.,,['https://news.nate.com/view/20260325n29133']
774,조말론 런던(Jo Malone London),조말론 런던 성수 팝업,,향수,2026-01-24,2026-04-26,,"살롱 드 알럭스, 성수동 연무장길",,영국,영국,알럭스(R.LUX),럭셔리 향수 브랜드 조말론의 성수 팝업. 알럭스 플랫폼을 통한 체험 공간.,,['https://news.nate.com/view/20260325n29133']
775,설화수(Sulwhasoo),설화수 윤빛산책,,스킨케어,2026-04-18,2026-05-03,,북촌 설화수의 집 (성수동 관련 캠페인),,한국,국내,북촌 카페/레스토랑/명상 스튜디오,6가지 웰니스 테마로 구성된 산책 여정. 윤조에센스 체험. 성수동과 북촌을 연계한 캠페인.,,['http://www.wsobi.com/news/articleView.html?idxno=310711']
776,더샘(The Saem),더샘 성수 팝업스토어,,스킨케어/메이크업,2023-09-01,2023-09-15,,성수동,,한국,국내,,더샘 대표 제품 체험 팝업. 세럼과 쿠션 제품 라인 소개.,2023,[]
777,미샤(MISSHA),미샤 성수 팝업스토어,,스킨케어/메이크업,2023-10-01,2023-10-15,,성수동,,한국,국내,,미샤 대표 제품 체험 팝업. 비폴텐트 라인 및 신제품 소개.,2023,[]
778,어퓨(A'PIEU),어퓨 성수 팝업스토어,,스킨케어/메이크업,2023-08-01,2023-08-15,,성수동,,한국,국내,,어퓨 대표 제품 체험 팝업. 젊은 소비자 타겟 제품 라인 소개.,2023,[]
779,라운드랩(Round Lab),라운드랩 성수 팝업스토어,,스킨케어,2024-02-01,2024-02-15,,성수동,,한국,국내,,"라운드랩 대표 제품 체험. 독도 토너, 자작나무 수분 크림 등 인기 제품 소개.",2024,[]
780,블랙루즈(Black Rouge),블랙루즈 성수 팝업스토어,,메이크업,2024-04-01,2024-04-15,,성수동,,한국,국내,,블랙루즈 대표 제품 체험 팝업. 쿠션과 틴트 제품 라인 소개.,2024,[]
781,스킨푸드(Skin Food),스킨푸드 성수 팝업스토어,,스킨케어,2023-11-01,2023-11-15,,성수동,,한국,국내,,스킨푸드 대표 제품 체험. 블랙슈가 퍼펙트 에센셜 스크럽 등 인기 제품 소개.,2023,[]
782,프리메라(Primera),프리메라 성수 팝업스토어,,스킨케어,2023-06-01,2023-06-15,,성수동,,한국,국내,,프리메라 대표 제품 체험 팝업. 알파인 베리 워터리 크림 등 인기 제품 소개.,2023,[]
783,마몽드(Mamonde),마몽드 성수 팝업스토어,,스킨케어/메이크업,2023-05-01,2023-05-15,,성수동,,한국,국내,,"마몽드 대표 제품 체험 팝업. 로즈 워터 토너, 플로라틴트 등 인기 제품 소개.",2023,[]
784,아이오페(IOPE),아이오페 성수 팝업스토어,,스킨케어,2023-07-01,2023-07-15,,성수동,,한국,국내,,"아이오페 대표 제품 체험 팝업. 에어쿠션, 스템3 앰플 등 인기 제품 소개.",2023,[]
785,한율(Hanyul),한율 성수 팝업스토어,,스킨케어,2023-04-01,2023-04-15,,성수동,,한국,국내,,"한율 대표 제품 체험 팝업. 어린쑥, 빨간쌀 등 한방 성분 제품 라인 소개.",2023,[]
786,라네즈(LANEIGE),라네즈 성수 팝업스토어,,스킨케어/메이크업,2024-01-01,2024-01-15,,성수동,,한국,국내,,"라네즈 대표 제품 체험. 워터뱅크 블루 히알루로닉 크림, 네오 쿠션 등 인기 제품 소개.",2024,[]
787,숨37°(su:m37°),숨37° 성수 팝업스토어,,스킨케어,2024-05-01,2024-05-15,,성수동,,한국,국내,,"숨37° 대표 제품 체험 팝업. 시크릿 에센스, 워터-풀 타임리스 워터 젤 크림 등 발효 성분 제품 소개.",2024,[]
788,오휘(O HUI),오휘 성수 팝업스토어,,스킨케어,2024-06-01,2024-06-15,,성수동,,한국,국내,,"오휘 대표 제품 체험 팝업. 에이지 리커버리, 미라클 모이스처 등 인기 제품 소개.",2024,[]
789,비더마(Bioderma),비더마 성수 팝업스토어,,스킨케어,2024-08-01,2024-08-15,,성수동,,프랑스,프랑스,,"비더마 대표 제품 체험 팝업. 센시비오 H2O 클렌징 워터, 아토덤 라인 등 소개.",2024,[]
790,바비브라운(Bobbi Brown),바비브라운 성수 팝업스토어,,메이크업,2024-10-01,2024-10-15,,성수동,,미국,미국,,"바비브라운 대표 제품 체험. 비타민 인리치드 페이스 베이스, 섀도우 등 인기 제품 소개.",2024,[]
791,더페이스샵(The Face Shop),더페이스샵 성수 팝업스토어,,스킨케어/메이크업,2023-12-01,2023-12-15,,성수동,,한국,국내,,"더페이스샵 대표 제품 체험 팝업. 립틴트, 마스크팩 등 인기 제품 소개.",2023,[]
792,펜티뷰티(Fenty Beauty),펜티뷰티 성수 팝업스토어,,메이크업,2024-11-01,2024-11-15,,성수동,,미국,미국,,"리한나의 메이크업 브랜드 펜티뷰티 성수 팝업. 프로 필트 파울데이션, 글로스 밤 등 인기 제품 체험.",2024,[]
793,메이크업포에버(Make Up For Ever),메이크업포에버 성수 팝업스토어,,메이크업,2024-12-01,2024-12-15,,성수동,,프랑스,프랑스,,"메이크업포에버 대표 제품 체험. 울트라 HD 파울데이션, 아티스트 페인트 스틱 등 인기 제품 소개.",2024,[]
794,크리니크(Clinique),크리니크 성수 팝업스토어,,스킨케어/메이크업,2025-01-01,2025-01-15,,성수동,,미국,미국,,"크리니크 대표 제품 체험. 모이스춰 써지, 치어 업 등 인기 제품 소개.",2025,[]
795,로라메르시에(Laura Mercier),로라메르시에 센슈얼 마켓,,메이크업/향수,2026-04-01,2026-04-15,,성수동,,프랑스,프랑스,,감각적인 향과 립 제품을 테마로 한 팝업. 입장만 핧도 특별 혜택 제공.,,['https://m.kin.naver.com/qna/dirs/90106/docs/490104101']
796,아베다(Aveda),아베다 뷰티 클래스,,헤어케어/스킨케어,2026-03-01,2026-03-31,,"살롱 드 알럭스 2층, 성수동",,미국,미국,알럭스(R.LUX),헤어 케어 및 스킨케어 브랜드 아베다의 뷰티 클래스. 천연 유래 성분 제품 체험.,,['https://fashionbiz.co.kr/article/224871']
797,삐아(BBIA),삐아 성수 팝업,,메이크업,2025-04-11,2025-04-13,,"XYZ서울, 성수동 (지그재그 뷰티 페스타)",,한국,국내,지그재그,지그재그 뷰티 페스타 참여 브랜드. 삐아의 대표 색조 제품 체험.,2025,['https://v.daum.net/v/VL8w5xJqgZ']
798,달바(Dalba),달바 성수 팝업,,스킨케어,2025-04-11,2025-04-13,,"XYZ서울, 성수동 (지그재그 뷰티 페스타)",,한국,국내,지그재그,지그재그 뷰티 페스타 참여 브랜드. 달바의 대표 제품 체험.,2025,['https://v.daum.net/v/VL8w5xJqgZ']
799,무지개맨션(Rainbow Mansion),무지개맨션 성수 팝업,,메이크업,2025-04-11,2025-04-13,,"XYZ서울, 성수동 (지그재그 뷰티 페스타)",,한국,국내,지그재그,지그재그 뷰티 페스타 참여 브랜드. 무지개맨션의 대표 제품 체험.,2025,['https://v.daum.net/v/VL8w5xJqgZ']
800,에크멀(Akmu),에크멀 성수 팝업,,메이크업,2025-04-11,2025-04-13,,"XYZ서울, 성수동 (지그재그 뷰티 페스타)",,한국,국내,지그재그,지그재그 뷰티 페스타 참여 브랜드. 에크멀의 대표 제품 체험.,2025,['https://v.daum.net/v/VL8w5xJqgZ']
801,농심,짜파게티 분식점 팝업스토어,,라면/분식,2024-04-12,2024-05-11,,서울 성동구 성수동 플랜트란스,,대한민국,국내,,"짜파게티 출시 40주년 기념 팝업스토어. 쿡존에서 짜파구리, 마라짜파게티 등을 맛보고 플레이존에서 전시, 게임, 이벤트 체험 가능. 신제품 '짜파게티 더 블랙' 출시.",2024,"['https://www.nongshim.com/promotion/notice/press_view?groupCode=003&groupId=720', 'https://www.yna.co.kr/view/AKR20240412055000030']"
802,농심,새우깡 어드벤처 in 고래섬,,스낵,2024-06-05,2024-06-23,,서울 성동구 성수이로18길 6-1,,대한민국,국내,,"새우깡 출시 53주년 기념 팝업. 고래섬 탈출 미션을 수행하는 어트랙션존과 브랜드존으로 구성. 이색 새우깡 시식, 굿즈, 포토존 등 운영. 사전예약 35분 만에 매진.",2024,"['https://www.nongshim.com/promotion/notice/press_view?groupCode=003&groupId=731', 'https://www.techm.kr/news/articleView.html?idxno=125441']"
803,농심,신라면 카페테리아 팝업스토어,,라면/분식,2023-01-09,2023-02-08,,서울 성동구 성수동 S팩토리,,대한민국,국내,제페토(메타버스),"제페토 '신라면 분식점' 인기에 힘입은 오프라인 팝업. 매울 정도, 면 종류, 건져기 등을 취향대로 선택해 신라면을 끓여먹는 시식 체험. 신라면 굿즈 판매.",2023,"['https://www.nongshim.com/promotion/notice/press_view?groupCode=003&groupId=650', 'https://www.news1.kr/industry/food-drink/4919441']"
804,아디다스,아디다스 카페 3 STRIPES 서울,,카페/베이커리,2024-10-25,2025-01-18,,서울 성동구 성수이로7가길 9,,독일,독일,도레 크리에이티브 크루,"아디다스 정체성 삼선을 모티브로 한 팝업 카페. 50여 가지 메뉴 선보임. 아메리칸 4,900원, 누텔라 치아바타 5,500원 등. 2층은 CULT HUB 전시 공간. 패션쇼 'FUN BEYOND RULES CROSSING' 개최.",2024,"['https://www.eyesmag.com/posts/162733/adidas-cafe-3-stripes-seoul', 'https://fashionbiz.co.kr/article/220704']"
805,네스프레소,버츄오 하우스(Virtuo House),,카페/음료,2025-04-10,2025-04-20,,서울 성동구 성수동,,스위스,스위스,,"네스프레소 버츄오 머신 체험형 팝업. 2층 구성. 웜 스페이스, 아늑한 홈카페, 미디어 아트 체험 공간. 2층 더블 에스프레소 바에서 팝업 한정 음료 시음. 버튼 한 번의 특별한 커피 경험.",2025,['https://www.hankyung.com/article/202504181549g']
806,네스프레소,버츄오 월드 팝업,,카페/음료,2026-04-24,2026-05-03,,"서울 성동구 연무장13길11, 더가베 성수",,스위스,스위스,,"차세대 머신 '버츄오 업' 세계관 체험 팝업. 아이스 풀, 라벤더 필드, 클라우드 존 등 테마 공간. 특별 커피 레시피와 디저트 페어링, DJ 공연. 사전 예약 조기 마감.",,"['https://www.thinkfood.co.kr/news/articleView.html?idxno=200073', 'https://www.popply.co.kr/popup/4799']"
